Time,Volt
"0,1675",-662.059870E-03
"0,17",-673.504904E-03
"0,1725",-684.546946E-03
"0,175",-694.496949E-03
"0,1775",-703.742816E-03
"0,18",-710.485598E-03
"0,1825",-718.485055E-03
"0,185",-724.641004E-03
"0,1875",-728.761665E-03
"0,19",-734.288907E-03
"0,1925",-736.832877E-03
"0,195",-739.116425E-03
"0,1975",-740.682924E-03
"0,2",-740.570230E-03
"0,2025",-739.043619E-03
"0,205",-738.050870E-03
"0,2075",-734.498734E-03
"0,21",-730.440973E-03
"0,2125",-726.153682E-03
"0,215",-719.997989E-03
"0,2175",-712.683087E-03
"0,22",-706.354974E-03
"0,2225",-697.943735E-03
"0,225",-688.653387E-03
"0,2275",-679.382058E-03
"0,23",-668.276034E-03
"0,2325",-657.967922E-03
"0,235",-644.265264E-03
"0,2375",-631.099608E-03
"0,24",-617.456009E-03
"0,2425",-602.465517E-03
"0,245",-587.170200E-03
"0,2475",-571.720634E-03
"0,25",-554.214379E-03
"0,2525",-536.840034E-03
"0,255",-520.687897E-03
"0,2575",-502.936519E-03
"0,26",-484.616466E-03
"0,2625",-466.039053E-03
"0,265",-446.045451E-03
"0,2675",-425.800323E-03
"0,27",-406.472700E-03
"0,2725",-385.944879E-03
"0,275",-365.520581E-03
"0,2775",-345.232024E-03
"0,28",-323.696337E-03
"0,2825",-301.013661E-03
"0,285",-279.892486E-03
"0,2875",-258.092618E-03
"0,29",-236.264694E-03
"0,2925",-214.213872E-03
"0,295",-192.709684E-03
"0,2975",-170.275544E-03
"0,3",-146.754690E-03
"0,3025",-125.006017E-03
"0,305",-103.699420E-03
"0,3075",-82.634412E-03
"0,31",-58.962927E-03
"0,3125",-38.746153E-03
"0,315",-19.271202E-03
"0,3175","0,82921"
"0,32",+20.540299E-03
"0,3225",+40.942095E-03
"0,325",+61.991185E-03
"0,3275",+81.642786E-03
"0,33",+101.319110E-03
"0,3325",+121.482211E-03
"0,335",+141.240472E-03
"0,3375",+159.415257E-03
"0,34",+177.412052E-03
"0,3425",+195.640760E-03
"0,345",+213.696950E-03
"0,3475",+230.964320E-03
"0,35",+246.759173E-03
"0,3525",+263.938445E-03
"0,355",+278.976420E-03
"0,3575",+293.567942E-03
"0,36",+306.755410E-03
"0,3625",+321.837419E-03
"0,365",+334.830162E-03
"0,3675",+347.609719E-03
"0,37",+359.792414E-03
"0,3725",+371.262361E-03
"0,375",+382.263448E-03
"0,3775",+392.217010E-03
"0,38",+400.705597E-03
"0,3825",+409.666313E-03
"0,385",+418.654783E-03
"0,3875",+425.213281E-03
"0,39",+433.739487E-03
"0,3925",+440.002276E-03
"0,395",+444.722334E-03
"0,3975",+449.568796E-03
"0,4",+453.934116E-03
"0,4025",+456.908200E-03
"0,405",+460.224523E-03
"0,4075",+461.503148E-03
"0,41",+462.454683E-03
"0,4125",+463.167525E-03
"0,415",+463.151855E-03
"0,4175",+462.978952E-03
"0,42",+461.732126E-03
"0,4225",+460.714374E-03
"0,425",+458.315074E-03
"0,4275",+455.095457E-03
"0,43",+451.408370E-03
"0,4325",+446.985697E-03
"0,435",+442.636185E-03
"0,4375",+437.146136E-03
"0,44",+430.748322E-03
"0,4425",+424.011546E-03
"0,445",+416.615088E-03
"0,4475",+408.716084E-03
"0,45",+401.325740E-03
"0,4525",+392.516099E-03
"0,455",+383.258007E-03
"0,4575",+373.725568E-03
"0,46",+363.580893E-03
"0,4625",+353.759643E-03
"0,465",+342.280707E-03
"0,4675",+330.621874E-03
"0,47",+318.719011E-03
"0,4725",+306.206277E-03
"0,475",+295.264200E-03
"0,4775",+282.616687E-03
"0,48",+270.392728E-03
"0,4825",+256.263075E-03
"0,485",+242.292270E-03
"0,4875",+229.607308E-03
"0,49",+216.146182E-03
"0,4925",+201.409725E-03
"0,495",+186.676887E-03
"0,4975",+173.096174E-03
"0,5",+159.114481E-03
"0,5025",+144.299402E-03
"0,505",+129.996257E-03
"0,5075",+116.001590E-03
"0,51",+100.505356E-03
"0,5125",+85.292063E-03
"0,515",+71.177635E-03
"0,5175",+56.626510E-03
"0,52",+42.480918E-03
"0,5225",+28.118340E-03
"0,525",+14.908608E-03
"0,5275","0,857447"
"0,53",-11.837593E-03
"0,5325",-25.181815E-03
"0,535",-38.564495E-03
"0,5375",-51.061671E-03
"0,54",-65.603201E-03
"0,5425",-79.723912E-03
"0,545",-93.853481E-03
"0,5475",-104.867331E-03
"0,55",-118.068274E-03
"0,5525",-130.084678E-03
"0,555",-142.478073E-03
"0,5575",-154.864691E-03
"0,56",-166.984951E-03
"0,5625",-178.982441E-03
"0,565",-189.443806E-03
"0,5675",-199.999355E-03
"0,57",-210.194080E-03
"0,5725",-220.338589E-03
"0,575",-230.331879E-03
"0,5775",-239.672655E-03
"0,58",-247.505391E-03
"0,5825",-256.528381E-03
"0,585",-264.531398E-03
"0,5875",-271.946745E-03
"0,59",-279.135419E-03
"0,5925",-285.250334E-03
"0,595",-291.714264E-03
"0,5975",-298.180394E-03
"0,6",-303.573019E-03
"0,6025",-308.353497E-03
"0,605",-313.532191E-03
"0,6075",-318.651320E-03
"0,61",-321.431280E-03
"0,6125",-324.945400E-03
"0,615",-327.712579E-03
"0,6175",-329.888575E-03
"0,62",-332.209885E-03
"0,6225",-333.510210E-03
